trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",30,0,-100.63608983500842,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9801}",25,0,-48.34571134028878,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.970299}",30,0,-134.93520804441349,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.96059601}",20,0,5.29224296349433,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",20,0,-138.42146288998367,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.941480149401}",20,0,-16.40059620996599,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",35,0,-4.2499878681378425,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.9227446944279201}",25,18,14.770566183730752,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.9135172474836408}",20,0,-12.531877776435675,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.9043820750088044}",25,0,-66.7348083167164,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.8953382542587164}",25,0,17.11740217782259,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.8863848717161292}",30,13,-33.836317660491716,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-37.736028928722,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8687458127689782}",20,14,-3.5920039912219597,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.8600583546412884}",25,0,-76.88044816432608,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.8514577710948755}",25,0,-56.42944231999078,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.8429431933839268}",20,0,-20.124654118347202,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.8345137614500875}",25,0,-10.562849346466743,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.8261686238355866}",30,9,-40.24399037095317,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.6, 'e': 0.8179069375972308}",25,0,-19.284668435456233,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.8097278682212584}",25,7,19.520522026089978,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.8016305895390459}",25,0,14.619068752157935,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.7936142836436554}",30,17,-23.90867774771477,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.7856781408072188}",35,1,-24.340211418753828,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.6, 'e': 0.7778213593991467}",20,0,-24.02973110783667,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.7700431458051551}",20,0,-11.536476472429957,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.7623427143471035}",20,4,-18.931681110429373,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.7547192872036326}",25,5,20.38341151597499,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.7471720943315961}",25,0,1.4798016405934826,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.6, 'e': 0.7397003733882802}",20,14,-1.3321841057831456,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.6, 'e': 0.7323033696543975}",25,2,13.189076650788557,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.6, 'e': 0.7249803359578534}",25,13,-22.1242738447362,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.6, 'e': 0.7177305325982749}",30,8,11.780600463816402,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.7105532272722921}",20,8,6.437099075946682,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.6, 'e': 0.7034476949995692}",25,9,9.582582062342507,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.6964132180495735}",35,12,36.79746513210512,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.6894490858690777}",25,0,-13.009586554249012,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.6, 'e': 0.682554595010387}",25,8,-40.2882495326314,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.6, 'e': 0.6757290490602831}",20,12,-18.33409705219634,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.6689717585696803}",20,0,19.91148211610868,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.6622820409839835}",20,0,-18.29319318318354,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
42,False,"{'a': 0.6, 'e': 0.6556592205741436}",25,0,-25.851588875520243,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
43,False,"{'a': 0.6, 'e': 0.6491026283684022}",20,0,20.912209104806234,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.6, 'e': 0.6426116020847181}",25,0,-25.575746029524282,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.6361854860638709}",30,0,-24.704819154412938,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.6298236312032323}",25,20,11.64731969975108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.6235253948912}",20,0,22.42974341219971,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.617290140942288}",20,9,10.897275377742103,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.611117239532865}",20,6,1.9441448874010903,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.6050060671375364}",20,3,-9.941577658602071,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.6, 'e': 0.598956006466161}",20,0,-10.890656105221439,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.5929664464014994}",30,14,13.553927910659805,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.6, 'e': 0.5870367819374844}",35,19,17.348946383513066,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.5811664141181095}",25,12,-3.590956416303442,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.5753547499769285}",20,0,32.43852584071165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.6, 'e': 0.5696012024771592}",20,0,9.302644163094001,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.6, 'e': 0.5639051904523875}",30,8,25.30079217315238,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.5582661385478637}",20,14,-0.2926107917419223,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.6, 'e': 0.5526834771623851}",25,11,-27.155595835526587,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.6, 'e': 0.5471566423907612}",25,2,35.5654888319896,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.5416850759668536}",20,14,10.712505625761915,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.536268225207185}",20,0,29.53927386719025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.6, 'e': 0.5309055429551132}",25,7,15.201765907774275,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.6, 'e': 0.525596487525562}",20,6,-18.381504430724,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.6, 'e': 0.5203405226503064}",25,17,-0.48879422591654365,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.6, 'e': 0.5151371174238033}",25,0,-27.05183884976888,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
67,False,"{'a': 0.6, 'e': 0.5099857462495653}",20,0,-29.214669328434788,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.6, 'e': 0.5048858887870696}",25,14,18.792167804369864,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.4998370298991989}",20,1,-0.8549261172497631,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.49483865960020695}",25,0,-32.944304193416535,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.4898902730042049}",25,0,8.893736860035652,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.6, 'e': 0.48499137027416284}",30,11,28.009173267532464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.4801414565714212}",25,10,-63.39970608911502,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
74,False,"{'a': 0.6, 'e': 0.47534004200570695}",20,12,12.749860486394024,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
