trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-66.7459494930248,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-51.605083644738215,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-86.5423429962488,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-217.07595609545675,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-158.47527388913036,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-52.10933626874838,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-68.69666084757219,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-16.037561381891503,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-174.88227577712794,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-84.63117431537944,"{0: 25, 1: 5, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-138.632094158166,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-64.82469230808542,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-177.2791553951465,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-239.1536578610267,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-146.64826646913866,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-96.93134620520819,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-156.3107756675107,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-158.26608723190697,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-127.0322579550694,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,1,-117.74535335339357,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,0,-103.19612678545614,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
